country,date,name,type
MD,N/A,"[{'language': 'EN', 'text': 'National Language Day'}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'Birth of Jesus Christ (Christmas in a new style)'}]",Public
MC,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
MC,N/A,"[{'language': 'EN', 'text': ""Saint Dévote's Day""}]",Public
MC,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
MC,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
MC,N/A,"[{'language': 'EN', 'text': ""Ascension's Day""}]",Public
MC,N/A,"[{'language': 'EN', 'text': 'Whit Monday'}]",Public
MC,N/A,"[{'language': 'EN', 'text': 'Corpus Christi'}]",Public
MC,N/A,"[{'language': 'EN', 'text': ""Assumption's Day""}]",Public
MC,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
MC,N/A,"[{'language': 'EN', 'text': ""Prince's Day""}]",Public
MC,N/A,"[{'language': 'EN', 'text': ""Immaculate Conception's Day""}]",Public
MC,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'New Year’s Day'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'Easter Sunday'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'King’s Day'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'Liberation Day'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'Ascension Day'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'Whit Sunday'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'Whit Monday'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
NL,N/A,"[{'language': 'EN', 'text': 'Boxing Day'}]",Public
PL,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Epiphany'}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Easter Sunday'}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Constitution Day'}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Pentecost'}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Corpus Christi'}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Assumption Day'}]",Public
PL,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Independence Day'}]",Public
PL,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
PL,N/A,"[{'language': 'EN', 'text': '2nd Day of Christmas'}]",Public
PT,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': ""St Amaro's Day""}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': ""St Vincent's Day""}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Carnival'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Battle of Atoleiros'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
PT,N/A,"[{'language': 'EN', 'text': 'Easter Sunday'}]",Public
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Monday after the first Sunday after Easter'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': ""St George's Day""}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Liberty Day'}]",Public
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Labor Day'}]",Public
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Day of St Giles of Santarém'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
PT,N/A,"[{'language': 'EN', 'text': 'Municipal holiday'}]",Optional
